Fecha,Ventas,Precio_Unitario,Promo,dia_semana,mes
2023-05-09,1457861747,15675932.76,0.0,1,5
2023-05-10,2041973701,15829253.5,0.0,2,5
2023-05-11,1310365103,15980062.24,0.0,3,5
2023-05-12,727160853,15807844.62,0.0,4,5
2023-05-13,399389308,18154059.45,0.0,5,5
2023-05-14,0,17083277.65,0.0,6,5
2023-05-15,944737255,16012495.86,0.0,0,5
2023-05-16,1855814002,15727237.31,0.0,1,5
2023-05-17,2168320865,15599430.69,1.0,2,5
2023-05-18,558328099,15952231.4,0.0,3,5
2023-05-19,561505059,17015304.82,0.0,4,5
2023-05-20,181540595,18154059.45,0.0,5,5
2023-05-21,0,17569095.32,0.0,6,5
2023-05-22,0,16984131.19,0.0,0,5
2023-05-23,393580009,16399167.06,0.0,1,5
2023-05-24,2248561808,15724208.45,0.0,2,5
2023-05-25,1177290758,15697210.1,0.0,3,5
2023-05-26,517753776,16179805.51,0.0,4,5
2023-05-27,1877855914,15648799.28,0.0,5,5
2023-05-28,0,15688665.64,0.0,6,5
2023-05-29,2831135758,15728531.99,0.0,0,5
2023-05-30,3925553234,15639654.32,0.0,1,5
2023-05-31,5053293590,15693458.36,0.0,2,5
2023-06-01,65304948,16326237.03,0.0,3,6
2023-06-02,330056203,15716962.04,1.0,4,6
2023-06-03,0,15908764.97,0.0,5,6
2023-06-04,0,16100567.9,0.0,6,6
2023-06-05,439894012,16292370.83,0.0,0,6
2023-06-06,1916751121,15840918.36,0.0,1,6
2023-06-07,117060570,16722938.61,0.0,2,6
2023-06-08,120680534,17240076.32,0.0,3,6
2023-06-09,173162320,17316232.04,0.0,4,6
2023-06-10,73529648,18382412.08,0.0,5,6
2023-06-11,0,17516524.65,0.0,6,6
2023-06-12,0,16650637.21,0.0,0,6
2023-06-13,1373273230,15784749.77,1.0,1,6
2023-06-14,631343940,15783598.5,0.0,2,6
2023-06-15,382537992,15939082.99,0.0,3,6
2023-06-16,342648156,16316578.87,0.0,4,6
2023-06-17,18382412,18382412.08,0.0,5,6
2023-06-18,0,17888810.21,0.0,6,6
2023-06-19,0,17395208.34,0.0,0,6
2023-06-20,152114458,16901606.47,0.0,1,6
2023-06-21,225368373,16097740.95,0.0,2,6
2023-06-22,31433924,15716961.98,1.0,3,6
2023-06-23,190533701,15877808.39,0.0,4,6
2023-06-24,0,15830737.52,0.0,5,6
2023-06-25,0,15783666.64,0.0,6,6
2023-06-26,2439172343,15736595.76,1.0,0,6
2023-06-27,2053866867,15798975.9,1.0,1,6
2023-06-28,2575239464,15896539.9,0.0,2,6
2023-06-29,5152859765,15806318.3,0.0,3,6
2023-06-30,3714941506,16222451.99,0.0,4,6
2023-07-01,18382412,18382412.08,0.0,5,7
2023-07-02,0,17531746.76,0.0,6,7
2023-07-03,0,16681081.43,0.0,0,7
2023-07-04,1013146631,15830416.1,0.0,1,7
2023-07-05,775462040,15825755.92,0.0,2,7
2023-07-06,290901667,16161203.74,0.0,3,7
2023-07-07,417188840,16687553.62,0.0,4,7
2023-07-08,55147236,18382412.08,0.0,5,7
2023-07-09,0,17101931.91,0.0,6,7
2023-07-10,1503037916,15821451.74,0.0,0,7
2023-07-11,2349823714,15770628.95,1.0,1,7
2023-07-12,748946841,16281453.06,0.0,2,7
2023-07-13,738804292,16060962.87,0.0,3,7
2023-07-14,613237264,16137822.74,0.0,4,7
2023-07-15,144118108,16013123.1,0.0,5,7
2023-07-16,0,16198223.86,0.0,6,7
2023-07-17,196599895,16383324.62,0.0,0,7
2023-07-18,119209943,17029991.8,0.0,1,7
2023-07-19,99632673,16605445.57,0.0,2,7
2023-07-20,0,16419049.13,0.0,3,7
2023-07-21,340885706,16232652.68,0.0,4,7
2023-07-22,0,16504997.47,0.0,5,7
2023-07-23,0,16777342.25,0.0,6,7
2023-07-24,68198748,17049687.03,0.0,0,7
2023-07-25,2020373608,15784168.81,0.0,1,7
2023-07-26,2185398069,15836217.89,0.0,2,7
2023-07-27,2244732377,16033802.7,0.0,3,7
2023-07-28,1179549133,16382626.85,0.0,4,7
2023-07-29,2326386140,15825756.05,0.0,5,7
2023-07-30,0,16027072.27,0.0,6,7
2023-07-31,2434258273,16228388.49,0.0,0,7
2023-08-01,72059057,18014764.17,0.0,1,8
2023-08-02,1540726910,15883782.58,0.0,2,8
2023-08-03,573806988,15939083.01,0.0,3,8
2023-08-04,131066596,16383324.51,0.0,4,8
2023-08-05,15716962,15716961.98,1.0,5,8
2023-08-06,0,16161203.66,0.0,6,8
2023-08-07,0,16605445.35,0.0,0,8
2023-08-08,34099374,17049687.03,0.0,1,8
2023-08-09,191268994,15939082.82,0.0,2,8
2023-08-10,788702427,15774048.55,1.0,3,8
2023-08-11,290901666,16161203.66,0.0,4,8
2023-08-12,36764824,18382412.08,0.0,5,8
2023-08-13,0,17549458.93,0.0,6,8
2023-08-14,267464092,16716505.77,0.0,0,8
2023-08-15,427299165,16434583.27,0.0,1,8
2023-08-16,201930797,16827566.42,0.0,2,8
2023-08-17,66099929,16524982.23,0.0,3,8
2023-08-18,55147236,18382412.08,0.0,4,8
2023-08-19,36764824,18382412.08,0.0,5,8
2023-08-20,0,17494897.32,0.0,6,8
2023-08-21,0,16607382.56,0.0,0,8
2023-08-22,1021791407,15719867.8,1.0,1,8
2023-08-23,1013881922,15841905.04,0.0,2,8
2023-08-24,1933650953,15849597.97,0.0,3,8
2023-08-25,2031547407,16123392.12,0.0,4,8
2023-08-26,110294473,18382412.08,0.0,5,8
2023-08-27,0,17072665.11,0.0,6,8
2023-08-28,914249252,15762918.13,1.0,0,8
2023-08-29,3281392858,16006794.43,0.0,1,8
2023-08-30,1255242991,16092858.86,0.0,2,8
2023-08-31,555148839,16327907.03,0.0,3,8
2023-09-01,52389874,17463291.39,0.0,4,9
2023-09-02,18382412,18382412.08,0.0,5,9
2023-09-03,0,17555203.46,0.0,6,9
2023-09-04,83639974,16727994.83,0.0,0,9
2023-09-05,252758162,15797385.13,1.0,1,9
2023-09-06,36764824,18382412.08,0.0,2,9
2023-09-07,0,17003731.06,0.0,3,9
2023-09-08,1125003603,15625050.04,1.0,4,9
2023-09-09,0,15698579.7,0.0,5,9
2023-09-10,0,15772109.36,0.0,6,9
2023-09-11,1188422927,15845639.02,0.0,0,9
2023-09-12,888789610,15871243.04,0.0,1,9
2023-09-13,307997310,16210384.75,0.0,2,9
2023-09-14,208824201,17402016.74,0.0,3,9
2023-09-15,349265824,15875719.28,0.0,4,9
2023-09-16,18382412,18382412.08,0.0,5,9
2023-09-17,0,18152631.91,0.0,6,9
2023-09-18,107537110,17922851.74,0.0,0,9
